package,version,license,license_source,direct_dependency,dev_dependency,resolved,package_path,license_file
@rollup/rollup-linux-x64-musl,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-linux-x64-musl/-/rollup-linux-x64-musl-4.57.1.tgz,node_modules/@rollup/rollup-linux-x64-musl,
@rollup/rollup-openbsd-x64,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-openbsd-x64/-/rollup-openbsd-x64-4.57.1.tgz,node_modules/@rollup/rollup-openbsd-x64,
@rollup/rollup-openharmony-arm64,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-openharmony-arm64/-/rollup-openharmony-arm64-4.57.1.tgz,node_modules/@rollup/rollup-openharmony-arm64,
@rollup/rollup-win32-arm64-msvc,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-win32-arm64-msvc/-/rollup-win32-arm64-msvc-4.57.1.tgz,node_modules/@rollup/rollup-win32-arm64-msvc,
@rollup/rollup-win32-ia32-msvc,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-win32-ia32-msvc/-/rollup-win32-ia32-msvc-4.57.1.tgz,node_modules/@rollup/rollup-win32-ia32-msvc,
@rollup/rollup-win32-x64-gnu,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-win32-x64-gnu/-/rollup-win32-x64-gnu-4.57.1.tgz,node_modules/@rollup/rollup-win32-x64-gnu,
@rollup/rollup-win32-x64-msvc,4.57.1,MIT,package-lock,false,true,https://registry.npmjs.org/@rollup/rollup-win32-x64-msvc/-/rollup-win32-x64-msvc-4.57.1.tgz,node_modules/@rollup/rollup-win32-x64-msvc,
@tweenjs/tween.js,23.1.3,MIT,package-lock,false,false,https://registry.npmjs.org/@tweenjs/tween.js/-/tween.js-23.1.3.tgz,node_modules/@tweenjs/tween.js,node_modules/@tweenjs/tween.js/LICENSE
@types/babel__core,7.20.5,MIT,package-lock,false,true,https://registry.npmjs.org/@types/babel__core/-/babel__core-7.20.5.tgz,node_modules/@types/babel__core,node_modules/@types/babel__core/LICENSE
@types/babel__generator,7.27.0,MIT,package-lock,false,true,https://registry.npmjs.org/@types/babel__generator/-/babel__generator-7.27.0.tgz,node_modules/@types/babel__generator,node_modules/@types/babel__generator/LICENSE
